hdbscan_filled_cluster,GO_hit,gene_symbols,annotated_label
58,Cul2-RING ubiquitin ligase complex,LRRC14 PRAME PRAMEF1 PRAMEF10 PRAMEF11 PRAMEF12 PRAMEF13 PRAMEF14 PRAMEF15 PRAMEF17 PRAMEF18 PRAMEF19 PRAMEF2 PRAMEF20 PRAMEF25 PRAMEF26 PRAMEF27 PRAMEF33 PRAMEF4 PRAMEF5 PRAMEF6 PRAMEF7 PRAMEF8 PRAMEF9,
53,Cul3-RING ubiquitin ligase complex,BTBD19 CCIN ENC1 IPP IVNS1ABP KBTBD12 KBTBD13 KBTBD2 KBTBD3 KBTBD4 KBTBD6 KBTBD7 KBTBD8 KEAP1 KLHL1 KLHL10 KLHL11 KLHL12 KLHL14 KLHL17 KLHL18 KLHL2 KLHL20 KLHL21 KLHL22 KLHL23 KLHL24 KLHL25 KLHL26 KLHL28 KLHL29 KLHL3 KLHL30 KLHL31 KLHL32 KLHL33 KLHL35 KLHL36 KLHL38 KLHL40 KLHL41 KLHL42 KLHL5 KLHL6 KLHL7 KLHL8 KLHL9,
70,Cul4-RING E3 ubiquitin ligase complex,AAAS AAMP APAF1 ARPC1A ARPC1B ATG16L1 ATG16L2 BOP1 BTRC BUB3 CDC20 CDC20B CDC40 CFAP52 CHAF1B CIAO1 CORO1A CORO1B CORO1C CORO2A CORO2B CORO6 CORO7 CSTF1 DAW1 DCAF10 DCAF11 DCAF12 DCAF13 DCAF4 DCAF4L1 DCAF4L2 DCAF7 DCAF8 DDB2 DPH7 DYNC1I1 DYNC1I2 EED EFCAB8 EIF2A EIF3I EIPR1 ELP2 EML1 EML2 EML3 EML4 EML5 EML6 ERCC8 FBXW11 FBXW12 FBXW2 FBXW4 FBXW5 FBXW7 FBXW8 FBXW9 FZR1 GNB1 GNB1L GNB2 GNB3 GNB4 GNB5 GRWD1 GTF3C2 HIRA KATNB1 KLHDC3 LLGL1 LLGL2 LRWD1 MIOS MLST8 NEDD1 NLE1 NOL10 NSMAF NUP37 NUP43 PAAF1 PAFAH1B1 PAK1IP1 PEX7 PLRG1 POC1A POC1B PPP2R2A PPP2R2B PPP2R2C PPP2R2D PPWD1 PRPF19 PRPF4 PWP1 PWP2 RACK1 RAE1 RBBP4 RBBP5 RRP9 SEC13 SEC31B SEH1L SHKBP1 SMU1 SNRNP40 SPAG16 STRAP STRN3 STRN4 STXBP5 STXBP5L TAF5 TAF5L TBL1XR1 TBL2 TBL3 THOC3 THOC6 TLE1 TLE2 TLE3 TLE4 TLE6 TLE7 TRAF7 UTP15 UTP18 UTP4 WDFY1 WDFY2 WDR1 WDR12 WDR18 WDR20 WDR24 WDR25 WDR27 WDR3 WDR31 WDR36 WDR37 WDR38 WDR4 WDR41 WDR43 WDR45B WDR46 WDR47 WDR48 WDR49 WDR5 WDR53 WDR54 WDR55 WDR59 WDR5B WDR6 WDR61 WDR64 WDR7 WDR70 WDR73 WDR74 WDR75 WDR77 WDR82 WDR83 WDR86 WDR88 WDR89 WDR90 WDR91 WDSUB1 WDTC1 WRAP53 WRAP73 WSB1 WSB2,
396,DNA endonuclease activity,ANKS4B APLF ATXN1L BAP1 CCDC82 CCM2L CCNB1 CCNB2 CSRNP2 CSRNP3 DCLRE1C DCP2 DNAJC14 DNMT1 DTL EME1 ERICH1 ITPKC JADE1 LIMD1 MBD4 MTA1 MTA2 ORC1 PAXBP1 PCGF2 PIAS1 PIAS2 PIAS3 RACGAP1 RAD18 RAG1 RING1 RNF168 SOCS6 SOCS7 SYCP3 TRAF3IP2 TRIM28 TTF2 UIMC1,
432,DNA helicase activity,AASDH ABCE1 ABCF2 ABCF3 ALKBH8 AMZ2 ANGEL1 AP5S1 ARRDC2 ARRDC4 ARRDC5 ASPRV1 ASTE1 ATAD1 ATG4B BABAM2 BAG5 BBS10 BLMH C5orf22 C7orf25 CCZ1 CDC123 CDC45 CEP41 CIDEA CNOT8 COA7 CPSF3 CSDE1 CYB5R4 CYBC1 DCAF17 DDHD2 DDX19A DDX25 DDX31 DDX39A DDX39B DDX41 DHX58 DIS3L DIS3L2 DMC1 DNM1L DNMT3L DRG1 DXO EFL1 EFTUD2 EIF2B5 EIF2S3B EIF4A1 EIF4A2 EIF4A3 ELMOD2 ERCC2 FASTK FASTKD1 FASTKD2 FASTKD3 FASTKD5 FEN1 FNTA FTO GPN1 GSPT1 HBS1L HDAC1 HDAC2 HDAC3 HMOX1 IFI35 IFT52 INTS9 IP6K2 IP6K3 IPMK KLHDC10 LETM1 LGSN LIG4 LIPE LRRC47 MALT1 MCM2 MCM3 MCM4 MCM5 MCM6 MCM7 MCMBP MCMDC2 MEAK7 MEIOB METTL22 METTL25 MIEF1 MPPED2 MRPS27 MSH5 MSS51 MTPAP NAA40 NAA80 NOL6 NOL9 NSF NSUN2 NTAN1 NUDCD1 OTUB2 PARP3 PDE12 PI4K2B POLA2 POLE2 POLG POLR1B POLR2A POLR2B POLR3A POLR3B POLRMT POP1 POT1 PPME1 PPP1CA PPP1CB PPP1CC PPP2CA PPP2CB PPP4C PPP5C PPP6C PRMT1 PRMT5 PRORP PRPF31 PSMC1 PSMC3 PSMC4 PSMC5 PSMC6 PSTK PTAR1 PTCD2 PTCD3 PUS7 RABGGTB RAD51 RAD51B RFC2 RFC3 RFC4 RFC5 RGP1 RHOT1 RNF25 RPA1 RTEL1 RUVBL1 RUVBL2 SAE1 SBNO2 SCFD1 SERAC1 SETD3 SETD4 SETD6 SKIV2L SPATA5 SPRYD3 SRPRA ST7L SUPV3L1 TBRG4 TDP2 TERT THNSL1 TOE1 TOP1MT TOP3A TOP3B TPGS2 TRIP13 TRMT13 TRMT9B TSEN2 TSEN54 TXNIP UBA2 UBA3 UBA6 UCHL1 VCP VPS26C VPS4A XRCC5 XRCC6,
437,DNA helicase activity,ARRB1 CMTR1 DDX42 DHX9 ELMOD1 EXOSC10 FBH1 GSTCD GTPBP1 KATNA1 KCTD3 LIG1 LIG3 MSH2 NEK9 NMI PEX1 RECQL4 SETD7 SPAST TBCCD1 UBE3D UPF1,
330,DNA integration,ABRA BAG3 BEND3 BEND4 C11orf16 C13orf42 C15orf62 C17orf113 C19orf47 C1orf226 C21orf58 C22orf15 C4orf19 C8orf34 CARD6 CBARP CBX6 CCDC17 CCSAP CDKN1A CENPB CLIC6 DACT3 DCDC2 DCDC2B DCDC2C DEPP1 E2F5 E2F6 ENTHD1 ENTR1 EPM2AIP1 ERRFI1 FAM110A FAM110B FAM110C FAM117A FAM200A FAM200B FAM217B FAM53A GIN1 GPRIN2 GTF2IRD2 GTF2IRD2B HARBI1 HSF4 INKA2 IRGQ JRK JRKL KIAA1586 LSP1 LURAP1 LURAP1L MCIDAS MEIKIN MEX3C MIIP MRNIP MYOZ1 NANOS1 NFE2L3 NYNRIN OTUD1 PEG10 PGBD2 PGBD4 PHETA1 PIMREG PJA2 PNMA8B PROSER2 PRR19 PTTG2 RASSF7 RTL1 RYBP SAPCD2 SLC2A4RG SMAD7 SPRED3 TAF1D TEDC2 TESMIN TESPA1 THAP12 THAP9 TIGD1 TIGD2 TIGD3 TIGD4 TIGD5 TIGD6 TIGD7 TPRN TSC22D4 UBXN11 VRTN YAF2 ZAR1 ZBED4 ZBED5 ZBED6 ZBED8 ZBED9 ZCCHC10 ZMYM1 ZMYM6 ZNF395 ZNF618 ZNF862 ZSWIM1 ZSWIM3 ZSWIM9,
360,DNA-directed RNA polymerase complex,AMZ1 C8orf76 CAPZA1 CAPZA3 CCZ1B CHMP7 CLIC5 DDX19B DDX43 DHX37 DYNC1LI1 EME2 ERCC4 GTF2H2 GTF2H3 IMPACT OTUB1 PDCD11 PRIM1 PRIMPOL RRAGD SMYD5 TAF1B TCEANC2 TDRD10 UCHL5 VAPB VPS28 ZHX1-C8orf76,
241,E-box binding,ASCL1 ASCL4 ASCL5 ATOH1 BHLHE23 CEBPE CITED4 FERD3L FOXE3 HAND1 HEYL JUNB LYL1 MKX MSC MSGN1 MYF5 MYF6 MYOD1 MYOG NEUROG1 NEUROG2 NEUROG3 NHLH1 NHLH2 OLIG1 PTF1A SCX TCF21 TWIST1 TWIST2,
242,E-box binding,ARID3C ASCL3 BHLHE40 CEBPA CEBPB CEBPD DMRTC2 ETV2 ETV3L FAM181B FOXD4 FOXD4L1 FOXD4L3 FOXD4L4 FOXD4L5 FOXD4L6 FOXH1 FOXJ1 FOXQ1 FOXS1 HELT HES1 HEY1 HEY2 JUN JUND NEUROD1 NEUROD4 NEUROD6 OLIG3 SOX15 SOX18 TAL1,
